,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,average_stay_lag_3,average_stay_lag_3_lower,average_stay_lag_3_upper,average_stay_lag_3_12m_window,average_stay_lag_3_12m_window_lower,average_stay_lag_3_12m_window_upper,deaths_lag_3,deaths_lag_3_lower,deaths_lag_3_upper,deaths_lag_3_12m_window,deaths_lag_3_12m_window_lower,deaths_lag_3_12m_window_upper,extra_regressors_additive,extra_regressors_additive_lower,extra_regressors_additive_upper,heat_index,heat_index_lower,heat_index_upper,heat_index95,heat_index95_lower,heat_index95_upper,heat_index99,heat_index99_lower,heat_index99_upper,heat_index_std,heat_index_std_lower,heat_index_std_upper,heat_index_sum,heat_index_sum_lower,heat_index_sum_upper,hospitalizations_lag_3,hospitalizations_lag_3_lower,hospitalizations_lag_3_upper,hospitalizations_lag_3_12m_window,hospitalizations_lag_3_12m_window_lower,hospitalizations_lag_3_12m_window_upper,humidity_mean,humidity_mean_lower,humidity_mean_upper,lag_heat_index_1,lag_heat_index_1_lower,lag_heat_index_1_upper,lag_heat_index_2,lag_heat_index_2_lower,lag_heat_index_2_upper,lag_heat_index_3,lag_heat_index_3_lower,lag_heat_index_3_upper,mortality_rate_lag_3,mortality_rate_lag_3_lower,mortality_rate_lag_3_upper,mortality_rate_lag_3_12m_window,mortality_rate_lag_3_12m_window_lower,mortality_rate_lag_3_12m_window_upper,temperature_max,temperature_max_lower,temperature_max_upper,temperature_mean,temperature_mean_lower,temperature_mean_upper,temperature_min,temperature_min_lower,temperature_min_upper,wind_speed_mean,wind_speed_mean_lower,wind_speed_mean_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2000-12-01,0.6496939999999999,0.6056619055559148,0.8133333590082872,0.6496939999999999,0.6496939999999999,0.05956242945279173,0.05956242945279173,0.05956242945279173,0.0071160895804529365,0.0071160895804529365,0.0071160895804529365,-0.019730919808068292,-0.019730919808068292,-0.019730919808068292,0.010129836163775859,0.010129836163775859,0.010129836163775859,0.5290391244854104,0.5290391244854104,0.5290391244854104,0.0901141017114921,0.0901141017114921,0.0901141017114921,-0.27648463878066754,-0.27648463878066754,-0.27648463878066754,-0.01200030390417683,-0.01200030390417683,-0.01200030390417683,-0.04393541304009601,-0.04393541304009601,-0.04393541304009601,-0.010744657839288633,-0.010744657839288633,-0.010744657839288633,0.1527747277573752,0.1527747277573752,0.1527747277573752,-0.11391314255596495,-0.11391314255596495,-0.11391314255596495,0.6672875271839454,0.6672875271839454,0.6672875271839454,-0.018278108639987925,-0.018278108639987925,-0.018278108639987925,-0.006505994325888512,-0.006505994325888512,-0.006505994325888512,0.003901936060131407,0.003901936060131407,0.003901936060131407,-0.02707956394845848,-0.02707956394845848,-0.02707956394845848,0.11632783506852638,0.11632783506852638,0.11632783506852638,-1.0360897950424437,-1.0360897950424437,-1.0360897950424437,0.030990050772422173,0.030990050772422173,0.030990050772422173,0.16109254858549,0.16109254858549,0.16109254858549,-0.016733822605950133,-0.016733822605950133,-0.016733822605950133,-0.00704921345504628,-0.00704921345504628,-0.00704921345504628,-0.03055167225870036,-0.03055167225870036,-0.03055167225870036,0.0,0.0,0.0,0.7092564294527917
1,2001-01-01,0.6473786278234085,0.5724026198819405,0.7811697473060248,0.6473786278234085,0.6473786278234085,0.024184290597058,0.024184290597058,0.024184290597058,0.004181462894496897,0.004181462894496897,0.004181462894496897,-0.01768759972778367,-0.01768759972778367,-0.01768759972778367,-0.0402150148132735,-0.0402150148132735,-0.0402150148132735,0.517593592423018,0.517593592423018,0.517593592423018,0.06653089739212022,0.06653089739212022,0.06653089739212022,-0.42169034912271364,-0.42169034912271364,-0.42169034912271364,-0.01459062881741518,-0.01459062881741518,-0.01459062881741518,-0.043586203685039134,-0.043586203685039134,-0.043586203685039134,0.0011357656621030965,0.0011357656621030965,0.0011357656621030965,0.22608866991920706,0.22608866991920706,0.22608866991920706,-0.11765392627933048,-0.11765392627933048,-0.11765392627933048,0.6442400775741193,0.6442400775741193,0.6442400775741193,0.0003823449520245409,0.0003823449520245409,0.0003823449520245409,-0.024115488200044995,-0.024115488200044995,-0.024115488200044995,-0.006385046567530202,-0.006385046567530202,-0.006385046567530202,-0.0038552058408627935,-0.0038552058408627935,-0.0038552058408627935,0.15780650383750214,0.15780650383750214,0.15780650383750214,-1.0128640714861272,-1.0128640714861272,-1.0128640714861272,0.030990050772422173,0.030990050772422173,0.030990050772422173,0.229014290324309,0.229014290324309,0.229014290324309,-0.03651714734070283,-0.03651714734070283,-0.03651714734070283,-0.00574117908625828,-0.00574117908625828,-0.00574117908625828,-0.042346606795062205,-0.042346606795062205,-0.042346606795062205,0.0,0.0,0.0,0.6715629184204664
2,2001-02-01,0.6450632556468171,0.4274868711274754,0.6458908266579528,0.6450632556468171,0.6450632556468171,-0.10940957129139646,-0.10940957129139646,-0.10940957129139646,-0.0016877904774151144,-0.0016877904774151144,-0.0016877904774151144,-0.017006493034355516,-0.017006493034355516,-0.017006493034355516,-0.08776292962493122,-0.08776292962493122,-0.08776292962493122,0.4947025282982343,0.4947025282982343,0.4947025282982343,-0.0872986970108236,-0.0872986970108236,-0.0872986970108236,-0.4756453071753458,-0.4756453071753458,-0.4756453071753458,-0.016252973553863112,-0.016252973553863112,-0.016252973553863112,-0.042935051695711234,-0.042935051695711234,-0.042935051695711234,0.005015435201728,0.005015435201728,0.005015435201728,0.1643298382534714,0.1643298382534714,0.1643298382534714,-0.10805800281504509,-0.10805800281504509,-0.10805800281504509,0.6434813138009551,0.6434813138009551,0.6434813138009551,0.0046953892141912285,0.0046953892141912285,0.0046953892141912285,-0.03671365790735542,-0.03671365790735542,-0.03671365790735542,-0.02352721852666625,-0.02352721852666625,-0.02352721852666625,0.0066256763963396725,0.0066256763963396725,0.0066256763963396725,0.1870301113792805,0.1870301113792805,0.1870301113792805,-0.9916756921014185,-0.9916756921014185,-0.9916756921014185,0.018499107927150753,0.018499107927150753,0.018499107927150753,0.2531096549118025,0.2531096549118025,0.2531096549118025,-0.0541023248827052,-0.0541023248827052,-0.0541023248827052,-0.00942031059916459,-0.00942031059916459,-0.00942031059916459,-0.022110874280572842,-0.022110874280572842,-0.022110874280572842,0.0,0.0,0.0,0.5356536843554206
3,2001-03-01,0.6429719517453798,0.5453330396656729,0.7687970245885853,0.6429719517453798,0.6429719517453798,0.01627745721162242,0.01627745721162242,0.01627745721162242,-0.0016877904774151144,-0.0016877904774151144,-0.0016877904774151144,-0.014282066260642498,-0.014282066260642498,-0.014282066260642498,-0.13251390827119733,-0.13251390827119733,-0.13251390827119733,0.46036593211105825,0.46036593211105825,0.46036593211105825,0.04375601182759887,0.04375601182759887,0.04375601182759887,-0.40807119188301083,-0.40807119188301083,-0.40807119188301083,-0.014010927620556002,-0.014010927620556002,-0.014010927620556002,-0.035966385010357746,-0.035966385010357746,-0.035966385010357746,0.006185335788328325,0.006185335788328325,0.006185335788328325,0.21921239691442967,0.21921239691442967,0.21921239691442967,-0.0978115082684353,-0.0978115082684353,-0.0978115082684353,0.6532503973804293,0.6532503973804293,0.6532503973804293,0.004526656528574601,0.004526656528574601,0.004526656528574601,-0.041394835503585595,-0.041394835503585595,-0.041394835503585595,-0.035791057171684584,-0.035791057171684584,-0.035791057171684584,0.024090961611312363,0.024090961611312363,0.024090961611312363,0.2143683248861054,0.2143683248861054,0.2143683248861054,-0.9651902178705319,-0.9651902178705319,-0.9651902178705319,0.020580931734695974,0.020580931734695974,0.020580931734695974,0.22242142183782856,0.22242142183782856,0.22242142183782856,-0.0326703897533898,-0.0326703897533898,-0.0326703897533898,-0.0018560688743567938,-0.0018560688743567938,-0.0018560688743567938,-0.02747855461597646,-0.02747855461597646,-0.02747855461597646,0.0,0.0,0.0,0.6592494089570022
4,2001-04-01,0.6406565795687884,0.574908016235797,0.7982656282573871,0.6406565795687884,0.6406565795687884,0.04353985431623719,0.04353985431623719,0.04353985431623719,-0.007557043849327126,-0.007557043849327126,-0.007557043849327126,-0.013600959567214426,-0.013600959567214426,-0.013600959567214426,-0.19964037624059647,-0.19964037624059647,-0.19964037624059647,0.462446937940584,0.462446937940584,0.462446937940584,0.09326581413708089,0.09326581413708089,0.09326581413708089,-0.09041095451906779,-0.09041095451906779,-0.09041095451906779,0.0006397026273395554,0.0006397026273395554,0.0006397026273395554,0.004697104334021764,0.004697104334021764,0.004697104334021764,0.02341155121352759,0.02341155121352759,0.02341155121352759,0.03543413268526645,0.03543413268526645,0.03543413268526645,-0.059753099952456125,-0.059753099952456125,-0.059753099952456125,0.651732869834103,0.651732869834103,0.651732869834103,0.024135696992552906,0.024135696992552906,0.024135696992552906,-0.03553204835651781,-0.03553204835651781,-0.03553204835651781,-0.04034800536674887,-0.04034800536674887,-0.04034800536674887,0.03658596167759594,0.03658596167759594,0.03658596167759594,0.23887844734050015,0.23887844734050015,0.23887844734050015,-0.9660051555391752,-0.9660051555391752,-0.9660051555391752,-0.016891896801118408,-0.016891896801118408,-0.016891896801118408,0.0507859099581446,0.0507859099581446,0.0507859099581446,-0.008490770633136515,-0.008490770633136515,-0.008490770633136515,0.0027478103588037166,0.0027478103588037166,0.0027478103588037166,-0.0497259598208437,-0.0497259598208437,-0.0497259598208437,0.0,0.0,0.0,0.6841964338850256
5,2001-05-01,0.6384158968172483,0.6146146684316954,0.8262883185945095,0.6384158968172483,0.6384158968172483,0.0809650024870164,0.0809650024870164,0.0809650024870164,-0.010491670535283165,-0.010491670535283165,-0.010491670535283165,-0.012238746180357876,-0.012238746180357876,-0.012238746180357876,-0.20243731240598808,-0.20243731240598808,-0.20243731240598808,0.46452794377010925,0.46452794377010925,0.46452794377010925,0.14493965085923669,0.14493965085923669,0.14493965085923669,0.2040695723144563,0.2040695723144563,0.2040695723144563,0.011503944623022492,0.011503944623022492,0.011503944623022492,0.05029467494964634,0.05029467494964634,0.05029467494964634,0.021843887323533456,0.021843887323533456,0.021843887323533456,-0.08985570017043727,-0.08985570017043727,-0.08985570017043727,-0.03633254098877653,-0.03633254098877653,-0.03633254098877653,0.6274524290928871,0.6274524290928871,0.6274524290928871,0.03001693559874146,0.03001693559874146,0.03001693559874146,-0.007971578660467193,-0.007971578660467193,-0.007971578660467193,-0.03464080525338599,-0.03464080525338599,-0.03464080525338599,0.04122880391056254,0.04122880391056254,0.04122880391056254,0.22285259804339588,0.22285259804339588,0.22285259804339588,-0.9537810905095355,-0.9537810905095355,-0.9537810905095355,-0.05332381343316014,-0.05332381343316014,-0.05332381343316014,-0.12164682467114567,-0.12164682467114567,-0.12164682467114567,-0.0024458658530732,-0.0024458658530732,-0.0024458658530732,-0.0036851901055074887,-0.0036851901055074887,-0.0036851901055074887,-0.06397464837222032,-0.06397464837222032,-0.06397464837222032,0.0,0.0,0.0,0.7193808993042647
6,2001-06-01,0.636100524640657,0.6053696584511423,0.826709565745514,0.636100524640657,0.636100524640657,0.07790437669979469,0.07790437669979469,0.07790437669979469,-0.010491670535283165,-0.010491670535283165,-0.010491670535283165,-0.012238746180357876,-0.012238746180357876,-0.012238746180357876,-0.317111695187045,-0.317111695187045,-0.317111695187045,0.4988645399572853,0.4988645399572853,0.4988645399572853,0.1305432688657218,0.1305432688657218,0.1305432688657218,0.26032023056478165,0.26032023056478165,0.26032023056478165,0.009092341817906757,0.009092341817906757,0.009092341817906757,0.02928214840345737,0.02928214840345737,0.02928214840345737,-0.02741363553716387,-0.02741363553716387,-0.02741363553716387,-0.13593666584967418,-0.13593666584967418,-0.13593666584967418,0.001075296244878237,0.001075296244878237,0.001075296244878237,0.5994730149575028,0.5994730149575028,0.5994730149575028,0.02088103096776902,0.02088103096776902,0.02088103096776902,0.017577799830281217,0.017577799830281217,0.017577799830281217,-0.007811737127946276,-0.007811737127946276,-0.007811737127946276,0.035414028630252566,0.035414028630252566,0.035414028630252566,0.2954402683891035,0.2954402683891035,0.2954402683891035,-0.9733395945569588,-0.9733395945569588,-0.9733395945569588,-0.03666922297279823,-0.03666922297279823,-0.03666922297279823,-0.15301925432567975,-0.15301925432567975,-0.15301925432567975,0.039868467607370055,0.039868467607370055,0.039868467607370055,-0.0027136762319596246,-0.0027136762319596246,-0.0027136762319596246,-0.05263889216592711,-0.05263889216592711,-0.05263889216592711,0.0,0.0,0.0,0.7140049013404517
7,2001-07-01,0.6338598418785965,0.7185089987638305,0.9245653119072527,0.6338598418785965,0.6338598418785965,0.17975056937245856,0.17975056937245856,0.17975056937245856,-0.010491670535283165,-0.010491670535283165,-0.010491670535283165,-0.01291985287378611,-0.01291985287378611,-0.01291985287378611,-0.09335680195571447,-0.09335680195571447,-0.09335680195571447,0.4562039204520067,0.4562039204520067,0.4562039204520067,0.18316846586981114,0.18316846586981114,0.18316846586981114,0.36656328883045974,0.36656328883045974,0.36656328883045974,0.011985119529506398,0.011985119529506398,0.011985119529506398,0.04164486504590886,0.04164486504590886,0.04164486504590886,-0.013640964958840816,-0.013640964958840816,-0.013640964958840816,-0.17189830652698482,-0.17189830652698482,-0.17189830652698482,-0.058126672246645084,-0.058126672246645084,-0.058126672246645084,0.5617245172426433,0.5617245172426433,0.5617245172426433,0.01694301401191838,0.01694301401191838,0.01694301401191838,0.022458154308877227,0.022458154308877227,0.022458154308877227,0.017059610263827664,0.017059610263827664,0.017059610263827664,0.008079258685128694,0.008079258685128694,0.008079258685128694,0.1493222306802117,0.1493222306802117,0.1493222306802117,-0.9122192694087596,-0.9122192694087596,-0.9122192694087596,-0.023137368223754163,-0.023137368223754163,-0.023137368223754163,-0.21399374141439814,-0.21399374141439814,-0.21399374141439814,0.04206661480012036,0.04206661480012036,0.04206661480012036,-0.0010974798366314988,-0.0010974798366314988,-0.0010974798366314988,-0.003417896497352523,-0.003417896497352523,-0.003417896497352523,0.0,0.0,0.0,0.813610411251055
8,2001-08-01,0.6315444696911339,0.7212404444888098,0.9347536323486798,0.6315444696911339,0.6315444696911339,0.19486049248703904,0.19486049248703904,0.19486049248703904,0.0012468362085408912,0.0012468362085408912,0.0012468362085408912,-0.01087653279350141,-0.01087653279350141,-0.01087653279350141,-0.054199695640231596,-0.054199695640231596,-0.054199695640231596,0.4208268213500674,0.4208268213500674,0.4208268213500674,0.14321797296043534,0.14321797296043534,0.14321797296043534,0.0967051859825289,0.0967051859825289,0.0967051859825289,0.0011701406790110892,0.0011701406790110892,0.0011701406790110892,0.01604676111008638,0.01604676111008638,0.01604676111008638,-0.001892182315516823,-0.001892182315516823,-0.001892182315516823,-0.035647732789279345,-0.035647732789279345,-0.035647732789279345,-0.1085459311267884,-0.1085459311267884,-0.1085459311267884,0.5597327623380902,0.5597327623380902,0.5597327623380902,-0.004253758264942727,-0.004253758264942727,-0.004253758264942727,0.03167589151151058,0.03167589151151058,0.03167589151151058,0.021810449571958542,0.021810449571958542,0.021810449571958542,-0.017260889396076975,-0.017260889396076975,-0.017260889396076975,0.16157729190740902,0.16157729190740902,0.16157729190740902,-0.8792142938287317,-0.8792142938287317,-0.8792142938287317,-0.017932808704891022,-0.017932808704891022,-0.017932808704891022,-0.04849403923073115,-0.04849403923073115,-0.04849403923073115,0.00634672291792801,0.00634672291792801,0.00634672291792801,0.004396973473995605,0.004396973473995605,0.004396973473995605,0.051642519526603724,0.051642519526603724,0.051642519526603724,0.0,0.0,0.0,0.8264049621781729
9,2001-09-01,0.6292290975036714,0.5803264160830804,0.7897774948565297,0.6292290975036714,0.6292290975036714,0.05658907606958271,0.05658907606958271,0.05658907606958271,-0.010491670535283165,-0.010491670535283165,-0.010491670535283165,-0.011557639486929644,-0.011557639486929644,-0.011557639486929644,-0.054199695640231596,-0.054199695640231596,-0.054199695640231596,0.4052192776286238,0.4052192776286238,0.4052192776286238,0.06891707898243106,0.06891707898243106,0.06891707898243106,0.17020500129285077,0.17020500129285077,0.17020500129285077,0.007423123154223314,0.007423123154223314,0.007423123154223314,0.027585484769293022,0.027585484769293022,0.027585484769293022,0.0056082052712299385,0.0056082052712299385,0.0056082052712299385,-0.09190545489020939,-0.09190545489020939,-0.09190545489020939,-0.0872397281806633,-0.0872397281806633,-0.0872397281806633,0.5437038776300223,0.5437038776300223,0.5437038776300223,-0.000748223246058315,-0.000748223246058315,-0.000748223246058315,0.008262775260347343,0.008262775260347343,0.008262775260347343,0.030783565854054732,0.030783565854054732,0.030783565854054732,-0.022101277400864625,-0.022101277400864625,-0.022101277400864625,0.1427233515578747,0.1427233515578747,0.1427233515578747,-0.855173632603774,-0.855173632603774,-0.855173632603774,-0.04187378249166133,-0.04187378249166133,-0.04187378249166133,-0.09417576001193548,-0.09417576001193548,-0.09417576001193548,0.016787922083491925,0.016787922083491925,0.016787922083491925,-0.019918641031969966,-0.019918641031969966,-0.019918641031969966,-0.012328002912848354,-0.012328002912848354,-0.012328002912848354,0.0,0.0,0.0,0.6858181735732541
