date,hospitalizations,hospitalizations_lag_3,average_stay_lag_3,deaths_lag_3,mortality_rate_lag_3,hospitalizations_lag_3_12m_window,average_stay_lag_3_12m_window,deaths_lag_3_12m_window,mortality_rate_lag_3_12m_window
1998-04,4132,3905,6.3,229,5.86,,,,
1998-05,4434,3502,5.8,200,5.71,,,,
1998-06,3937,4322,6.0,221,5.11,,,,
1998-07,4004,4132,6.0,236,5.71,,,,
1998-08,4093,4434,6.0,261,5.89,,,,
1998-09,4336,3937,6.3,307,7.8,,,,
1998-10,4353,4004,6.3,336,8.39,,,,
1998-11,4082,4093,6.1,290,7.09,,,,
1998-12,4182,4336,6.1,283,6.53,,,,
1999-01,4304,4353,6.3,260,5.97,,,,
1999-02,3826,4082,5.8,243,5.95,,,,
1999-03,4064,4182,6.0,215,5.14,4106.833333333333,6.083333333333333,256.75,6.2625
1999-04,4031,4304,6.0,235,5.46,4140.083333333333,6.058333333333334,257.25,6.229166666666667
1999-05,4530,3826,5.6,214,5.59,4167.083333333333,6.041666666666667,258.4166666666667,6.219166666666666
1999-06,4768,4064,5.7,197,4.85,4145.583333333333,6.016666666666667,256.4166666666667,6.197499999999999
1999-07,4227,4031,5.9,216,5.36,4137.166666666667,6.008333333333334,254.75,6.168333333333333
1999-08,4582,4530,5.9,277,6.11,4145.166666666667,6.0,256.0833333333333,6.1866666666666665
1999-09,4556,4768,5.9,315,6.61,4214.416666666667,5.966666666666666,256.75,6.0874999999999995
1999-10,4631,4227,5.9,286,6.77,4233.0,5.933333333333334,252.58333333333334,5.952500000000001
1999-11,4337,4582,6.1,308,6.72,4273.75,5.933333333333334,254.08333333333334,5.921666666666667
1999-12,4163,4556,5.9,261,5.73,4292.083333333333,5.916666666666667,252.25,5.8549999999999995
2000-01,4048,4631,6.0,264,5.7,4315.25,5.891666666666667,252.58333333333334,5.8325
2000-02,4144,4337,6.0,236,5.44,4336.5,5.908333333333334,252.0,5.789999999999999
2000-03,3953,4163,5.7,209,5.02,4334.916666666667,5.883333333333333,251.5,5.78
2000-04,4420,4048,5.8,220,5.43,4313.583333333333,5.866666666666667,250.25,5.7775
2000-05,4353,4144,5.6,219,5.28,4340.083333333333,5.866666666666667,250.66666666666666,5.751666666666666
